,賣場,品名,品牌,種類,價格,圖片
1,家樂福,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$269,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdd74c1e9/images/large/0260014_-fsc-110x24.png?sw=300&bgcolor=FFFFFF
2,家樂福,唯潔雅抽取式衛生紙100PCx24,唯潔雅,抽取,$208,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwede0c52c/images/large/0275779.jpeg?sw=300&bgcolor=FFFFFF
3,家樂福,倍潔雅無漂白PEFC衛生紙-100PC,倍潔雅,,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8c24e787/images/large/0230125_efc.png?sw=300&bgcolor=FFFFFF
4,家樂福,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$867,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc5d8e5e5/images/large/0239094.jpeg?sw=300&bgcolor=FFFFFF
5,家樂福,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$289,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcaa53813/images/large/0239093.jpeg?sw=300&bgcolor=FFFFFF
6,家樂福,情人平版衛生紙-300PC,情人,平版,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw41e5582c/images/large/0213879.jpeg?sw=300&bgcolor=FFFFFF
7,家樂福,【抽取】百吉抽取衛生紙,百吉,抽取,$169,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw028cbdce/images/large/0007270.jpeg?sw=300&bgcolor=FFFFFF
8,家樂福,情人平版衛生紙-300PC,情人,平版,$594,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf3e9fa05/images/large/0213880.jpeg?sw=300&bgcolor=FFFFFF
9,家樂福,雪柔抽取衛生紙-100PC,雪柔,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2f3a52c6/images/large/0095482.jpeg?sw=300&bgcolor=FFFFFF
10,家樂福,百吉抽取衛生紙-130PC,百吉,抽取,"$1,014",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw268871fc/images/large/0060216.jpeg?sw=300&bgcolor=FFFFFF
11,家樂福,【捲筒式】春風捲筒衛生紙-12 Roll捲,春風,捲筒,$792,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw06cb25f5/images/large/0118700.jpeg?sw=300&bgcolor=FFFFFF
12,家樂福,舒潔濕式衛生紙-40PC,舒潔,濕式,$132,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf7c75333/images/large/0113690.jpeg?sw=300&bgcolor=FFFFFF
13,家樂福,舒潔濕式衛生紙-40PCx36,舒潔,濕式,"$1,510",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe170a0f2/images/large/0113689.jpeg?sw=300&bgcolor=FFFFFF
14,家樂福,春風捲筒衛生紙,春風,捲筒,$115,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdc0f9d1b/images/large/0007294.jpeg?sw=300&bgcolor=FFFFFF
15,家樂福,春風濕拭衛生紙40PCx3,春風,,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3d8a4590/images/large/0263872.jpeg?sw=300&bgcolor=FFFFFF
16,家樂福,春風平版衛生紙-300PC,春風,平版,$114,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dweb1a2c17/images/large/0099563.jpeg?sw=300&bgcolor=FFFFFF
17,家樂福,【抽取】可麗舒抽取衛生紙,可麗舒,抽取,$714,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw42c03bf0/images/large/0060215.jpeg?sw=300&bgcolor=FFFFFF
18,家樂福,【抽取】可麗舒抽取衛生紙,可麗舒,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7f97fdf6/images/large/0016982.jpeg?sw=300&bgcolor=FFFFFF
19,家樂福,舒潔平版式衛生紙-300PC,舒潔,平版,$129,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcb0d5325/images/large/0115599.jpeg?sw=300&bgcolor=FFFFFF
20,家樂福,優活抽取式衛生紙 100抽,優活,抽取,$189,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1661619a/images/large/0225484.jpeg?sw=300&bgcolor=FFFFFF
21,家樂福,柔情抽取式衛生紙-100PC,柔情,抽取,$115,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcfb0fdfb/images/large/0239237.jpeg?sw=300&bgcolor=FFFFFF
22,家樂福,舒適抽取式衛生紙-110PC,舒適,抽取,$717,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1e9006f9/images/large/0036814.jpeg?sw=300&bgcolor=FFFFFF
23,家樂福,舒潔平版式衛生紙300PCx6包x8袋,舒潔,平版,$992,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw03dd75c2/images/large/0115600.jpeg?sw=300&bgcolor=FFFFFF
24,家樂福,舒適抽取式衛生紙(110抽),舒適,抽取,$239,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2bd116d7/images/large/0004085.jpeg?sw=300&bgcolor=FFFFFF
25,家樂福,家樂福抽取式衛生紙-PEFC,家樂福,抽取,$59,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6ba5faf6/images/large/0273201_-efc.png?sw=300&bgcolor=FFFFFF
26,家樂福,金舒適抽取式衛生紙,舒適,抽取,$179,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa2f2359a/images/large/0210560.jpeg?sw=300&bgcolor=FFFFFF
27,家樂福,倍潔雅抽取式衛生紙100PCx24,倍潔雅,抽取,$199,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw83c18ff3/images/large/1220110300124-1.png?sw=300&bgcolor=FFFFFF
28,家樂福,春風濕拭衛生紙10PCx3包,春風,,$648,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5243389b/images/large/0263864_10.jpeg?sw=300&bgcolor=FFFFFF
29,家樂福,淨世代環保抽取衛生紙100PC,,抽取,$126,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe9ef1b2c/images/large/0238398.jpeg?sw=300&bgcolor=FFFFFF
30,家樂福,淨世代環保抽取衛生紙100PC,,抽取,$756,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3159c4fd/images/large/0238397.jpeg?sw=300&bgcolor=FFFFFF
31,家樂福,舒潔迪士尼抽取衛生紙100PC,舒潔,抽取,$168,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0c058259/images/large/1220107900112.jpg?sw=300&bgcolor=FFFFFF
32,家樂福,舒適三層抽取式衛生紙,舒適,抽取,$339,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw64646990/images/large/0202599.jpeg?sw=300&bgcolor=FFFFFF
33,家樂福,春風Hello Kitty三層抽取式衛生紙90PCx20包x3袋,春風,抽取,"$1,062",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa78a7d26/images/large/0259666_hello-kitty.jpeg?sw=300&bgcolor=FFFFFF
34,家樂福,舒潔萬用輕巧包衛生紙,舒潔,,$198,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4e467aab/images/large/0004113.jpeg?sw=300&bgcolor=FFFFFF
35,家樂福,春風Hello Kitty三層抽取式衛生紙90PC,春風,抽取,$299,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa81d7423/images/large/0259665_hello-kitty.jpeg?sw=300&bgcolor=FFFFFF
36,家樂福,春風抽取式衛生紙優質經濟包-100PC,春風,抽取,$85,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwba11274c/images/large/0080629.jpeg?sw=300&bgcolor=FFFFFF
37,家樂福,得意優質抽取式衛生紙100PCx24,得意,抽取,$216,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw63503b1d/images/large/1220103100124.jpg?sw=300&bgcolor=FFFFFF
38,家樂福,柔情抽取式衛生紙-100PC,柔情,抽取,$225,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw753623c7/images/large/0239577_24.jpeg?sw=300&bgcolor=FFFFFF
39,家樂福,可麗舒除臭抽取衛生紙-100PC,可麗舒,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb44a45bf/images/large/0004119.jpeg?sw=300&bgcolor=FFFFFF
40,家樂福,可麗舒除臭抽取衛生紙-100PC,可麗舒,抽取,$672,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6f3b60f4/images/large/0060217.jpeg?sw=300&bgcolor=FFFFFF
41,家樂福,舒潔女性專用濕式衛生紙,舒潔,濕式,$98,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb45a4f88/images/large/0178850.jpeg?sw=300&bgcolor=FFFFFF
42,家樂福,家樂福濕式衛生紙外出包-20PC,家樂福,濕式,$75,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwbc997658/images/large/0229146.jpeg?sw=300&bgcolor=FFFFFF
43,家樂福,倍潔雅特級抽取式衛生紙-110抽,倍潔雅,抽取,$125,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9339b35b/images/large/0271593.jpeg?sw=300&bgcolor=FFFFFF
44,家樂福,舒適抽取式衛生紙(輕巧包)120PCx20包,舒適,抽取,$205,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe231cd7f/images/large/0236515.jpeg?sw=300&bgcolor=FFFFFF
45,家樂福,五月花新纖柔抽取衛生紙,五月花,抽取,$139,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2fa15214/images/large/1220113300112.jpg?sw=300&bgcolor=FFFFFF
46,家樂福,春風抽取衛生紙-110PC,春風,抽取,$120,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc753bc12/images/large/0218402.jpeg?sw=300&bgcolor=FFFFFF
47,家樂福,春風抽取衛生紙-110PC,春風,抽取,$840,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6da88611/images/large/0218403.jpeg?sw=300&bgcolor=FFFFFF
48,家樂福,春風柔膚感抽取式衛生紙-110PC,春風,抽取,$298,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw98cf0f2e/images/large/0007291.jpeg?sw=300&bgcolor=FFFFFF
49,家樂福,春風柔膚感抽取式衛生紙-110PC,春風,抽取,$894,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2926f8b9/images/large/0060221.jpeg?sw=300&bgcolor=FFFFFF
50,家樂福,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$807,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd61ab754/images/large/0234244_-fsc-110x24.jpeg?sw=300&bgcolor=FFFFFF
51,家樂福,倍潔雅柔軟舒適抽取衛生紙(150抽/包),舒適,抽取,$187,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4af752b6/images/large/0216169.jpeg?sw=300&bgcolor=FFFFFF
52,家樂福,五月花三層捲筒衛生紙-6捲,五月花,捲筒,"$1,888",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf92b4e93/images/large/0239100_-200.jpeg?sw=300&bgcolor=FFFFFF
53,家樂福,家樂福抽取式花紋衛生紙(FSC)130PCx12,家樂福,抽取,$139,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw193436fd/images/large/0234239_-fsc130x12.jpeg?sw=300&bgcolor=FFFFFF
54,家樂福,家樂福抽取式花紋衛生紙(FSC)130PCx12包x6袋,家樂福,抽取,$834,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwaf87aea4/images/large/0234240_-fsc130x12.jpeg?sw=300&bgcolor=FFFFFF
55,家樂福,家樂福抽取式衛生紙-過年版100PCx24包x4袋,家樂福,抽取,$756,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8debd281/images/large/1220111500101.png?sw=300&bgcolor=FFFFFF
56,家樂福,五月花三層捲筒衛生紙-6l捲,五月花,捲筒,$118,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6fe026e5/images/large/0239099_-200.jpeg?sw=300&bgcolor=FFFFFF
57,家樂福,唯潔雅潔淨柔感抽取式衛生紙-150PC,唯潔雅,抽取,$160,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7ec9dddd/images/large/0224090.jpeg?sw=300&bgcolor=FFFFFF
58,家樂福,家樂福抽取式花紋衛生紙-FSC-110PCx6包,家樂福,抽取,$690,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw72594744/images/large/0234234_-fsc-110x6.jpeg?sw=300&bgcolor=FFFFFF
59,家樂福,春風柔韌感山茶花抽取衛生紙-110PC,春風,抽取,$161,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0b726fc1/images/large/0174848.jpeg?sw=300&bgcolor=FFFFFF
60,家樂福,家樂福超值捲筒式花紋衛生紙,家樂福,捲筒,$95,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd9dc94a0/images/large/0207210.jpeg?sw=300&bgcolor=FFFFFF
61,家樂福,家樂福超值捲筒式花紋衛生紙,家樂福,捲筒,$760,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0fa416a2/images/large/0207211.jpeg?sw=300&bgcolor=FFFFFF
62,家樂福,得意連續抽取衛生紙-大甲媽版,得意,抽取,$235,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd944ece7/images/large/0199577_-.jpeg?sw=300&bgcolor=FFFFFF
63,家樂福,春風山茶花精華抽取式衛生紙-100PC,春風,抽取,$807,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb7b72abf/images/large/0201609.jpeg?sw=300&bgcolor=FFFFFF
64,家樂福,春風山茶花精華抽取式衛生紙-100PC,春風,抽取,$269,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw634f093d/images/large/0201610.jpeg?sw=300&bgcolor=FFFFFF
65,家樂福,舒潔迪士尼抽取衛生紙超值包,舒潔,抽取,$299,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw73107a61/images/large/0185918.jpeg?sw=300&bgcolor=FFFFFF
66,家樂福,得意連續抽取衛生紙-大甲媽版,得意,抽取,$705,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0ac11034/images/large/0206155_-.jpeg?sw=300&bgcolor=FFFFFF
67,家樂福,家樂福超值平版式花紋衛生紙-300PC,家樂福,平版,$89,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw46b0fe06/images/large/0207262.jpeg?sw=300&bgcolor=FFFFFF
68,家樂福,家樂福超值平版式花紋衛生紙-300PC,家樂福,平版,$534,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd5364b1d/images/large/0210461.jpeg?sw=300&bgcolor=FFFFFF
69,家樂福,【家樂福省更多】家樂福優質三層抽取式衛生紙 100抽x24包/袋,家樂福,抽取,$329,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw81b3ca2e/images/large/0180502.jpeg?sw=300&bgcolor=FFFFFF
70,家樂福,五月花蓬厚柔三層抽取衛生紙110PC,五月花,抽取,$439,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwca8f51b5/images/large/0238361.jpeg?sw=300&bgcolor=FFFFFF
71,家樂福,舒潔 喀什米爾 4層抽取衛生紙乳木果精華-90PC(即日起-3/31 箱購活動請下6件只要1199元/不得併用折價券/折扣碼),舒潔,抽取,$310,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw237b265e/images/large/0257621_490.png?sw=300&bgcolor=FFFFFF
72,家樂福,舒潔絲柔乳液抽取衛生紙超值包-100PCx30包,舒潔,抽取,$399,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0c71184c/images/large/0178420.jpeg?sw=300&bgcolor=FFFFFF
73,家樂福,舒潔棉柔舒適捲筒衛生紙300PCx12,舒潔,捲筒,$239,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dweef1c5b2/images/large/1220204900101.jpg?sw=300&bgcolor=FFFFFF
74,家樂福,舒潔兒童學習專用濕式衛生紙40抽,舒潔,濕式,$98,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw00f469dd/images/large/0241397_40.jpeg?sw=300&bgcolor=FFFFFF
75,家樂福,舒潔特級膚觸抽取衛生紙 90抽6包,舒潔,抽取,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf44a4cc7/images/large/1220115100101.jpg?sw=300&bgcolor=FFFFFF
76,家樂福,舒潔喀什米爾4層衛生紙86抽4包,舒潔,,$85,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6150bf43/images/large/1220110200101.jpg?sw=300&bgcolor=FFFFFF
77,家樂福,家樂福環保抽取式衛生紙-100PCX12,家樂福,抽取,$115,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2202f6d8/images/large/0251888_-100x12.jpeg?sw=300&bgcolor=FFFFFF
78,家樂福,唯潔雅抽取式衛生紙(平安福)90PCx14,唯潔雅,抽取,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe5a84209/images/large/1220108800101.jpg?sw=300&bgcolor=FFFFFF
79,家樂福,五月花舒敏厚棒抽取式衛生紙86PC,五月花,抽取,$245,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa1e94795/images/large/0275018_8610.jpeg?sw=300&bgcolor=FFFFFF
80,家樂福,可麗舒豆卡聯名抽取衛生紙90抽6包(即日起-3/31 箱購活動請下12件只要779元/不得併用折價券/折扣碼),可麗舒,抽取,$69,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1c39c09f/images/large/1220104500101.png?sw=300&bgcolor=FFFFFF
81,家樂福,五月花角落小夥伴衛生紙(FSC驗證)100PCx24,五月花,,$315,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5a35357b/images/large/0275043_fsc100.jpeg?sw=300&bgcolor=FFFFFF
82,家樂福,家樂福超值連續抽取式花紋衛生紙輕巧包120抽,家樂福,抽取,$168,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8b2eed17/images/large/0203814.jpeg?sw=300&bgcolor=FFFFFF
83,家樂福,【汽車百貨】YAC飲料紙巾多用途垃圾桶,,紙巾,$399,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf139c6a5/images/large/35542007001-1.jpg?sw=300&bgcolor=FFFFFF
84,家樂福,五月花聰明萬用紙巾-120PC,五月花,紙巾,$88,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw850f3838/images/large/0238358.jpeg?sw=300&bgcolor=FFFFFF
85,家樂福,五月花聰明萬用紙巾-120PC,五月花,紙巾,$474,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa50c0bd3/images/large/0238359.jpeg?sw=300&bgcolor=FFFFFF
86,家樂福,家樂福超值單抽式柔紙巾,家樂福,紙巾,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw39342d0a/images/large/0181871.jpeg?sw=300&bgcolor=FFFFFF
87,家樂福,家樂福超值單抽式柔紙巾,家樂福,紙巾,$594,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw70267447/images/large/0090888.jpeg?sw=300&bgcolor=FFFFFF
88,家樂福,春風抽取式廚房紙巾120PCx3包x8袋,春風,抽取,$632,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0a08a374/images/large/1222100900101.jpg?sw=300&bgcolor=FFFFFF
